shadow_name,subset,small_best_iou,big_best_iou,delta,small_mean_iou,big_mean_iou,small_std_iou,big_std_iou,big_n_runs
objects/shoe_mpeg7-02,objects,0.5746,0.6683,0.0937,0.5359,0.599,0.0251,0.0439,10
objects/shoe_mpeg7-03,objects,0.5924,0.6107,0.0183,0.5282,0.5774,0.0429,0.0293,10
objects/shoe_mpeg7-04,objects,0.5977,0.6254,0.0277,0.5485,0.6047,0.0362,0.0166,10
objects/shoe_mpeg7-05,objects,0.6043,0.6323,0.028,0.554,0.5819,0.0329,0.032,10
objects/spoon_mpeg7-01,objects,0.384,0.438,0.054,0.3416,0.3772,0.027,0.0308,15
objects/spoon_mpeg7-02,objects,0.5405,0.5546,0.0141,0.4718,0.49,0.0295,0.0449,10
objects/spoon_mpeg7-03,objects,0.3978,0.4664,0.0686,0.3625,0.4177,0.0223,0.0321,15
objects/spoon_mpeg7-04,objects,0.7406,0.7552,0.0146,0.6683,0.6954,0.0472,0.039,10
objects/spoon_mpeg7-05,objects,0.5291,0.5996,0.0705,0.4992,0.5562,0.0236,0.0315,10
objects/teddy_mpeg7-01,objects,0.651,0.6947,0.0437,0.6205,0.6583,0.0246,0.0257,10
objects/teddy_mpeg7-02,objects,0.6554,0.6994,0.044,0.6331,0.658,0.015,0.0194,10
objects/teddy_mpeg7-03,objects,0.6585,0.6868,0.0283,0.6201,0.6579,0.023,0.0149,10
objects/teddy_mpeg7-04,objects,0.652,0.7122,0.0602,0.6296,0.6507,0.0169,0.0322,10
objects/teddy_mpeg7-05,objects,0.6385,0.6625,0.024,0.6088,0.6334,0.0215,0.0165,10
objects/tree_mpeg7-01,objects,0.688,0.7189,0.0309,0.6603,0.6872,0.0135,0.0181,10
objects/tree_mpeg7-02,objects,0.6605,0.672,0.0115,0.6358,0.6567,0.0137,0.0103,10
objects/tree_mpeg7-03,objects,0.6681,0.6913,0.0232,0.6454,0.6784,0.0191,0.0079,10
objects/tree_mpeg7-04,objects,0.6418,0.661,0.0192,0.6186,0.6412,0.0137,0.0121,10
objects/tree_mpeg7-05,objects,0.7005,0.7277,0.0272,0.6782,0.7019,0.0195,0.0178,10
objects/watch_mpeg7-01,objects,0.4165,0.4702,0.0537,0.379,0.4284,0.0272,0.0289,15
objects/watch_mpeg7-02,objects,0.3362,0.371,0.0348,0.3113,0.3405,0.0232,0.0175,15
objects/watch_mpeg7-03,objects,0.4593,0.495,0.0357,0.4191,0.4612,0.0259,0.0198,15
objects/watch_mpeg7-04,objects,0.4004,0.427,0.0266,0.3692,0.3976,0.0264,0.0258,15
objects/watch_mpeg7-05,objects,0.4541,0.4737,0.0196,0.4171,0.4397,0.0215,0.0304,15
vehicles/car_mpeg7-01,vehicles,0.6117,0.6523,0.0406,0.5654,0.5956,0.0254,0.028,10
vehicles/car_mpeg7-02,vehicles,0.5672,0.6196,0.0524,0.5408,0.5707,0.025,0.0398,10
vehicles/car_mpeg7-03,vehicles,0.5878,0.6228,0.035,0.548,0.581,0.0262,0.029,10
vehicles/car_mpeg7-04,vehicles,0.6046,0.6527,0.0481,0.5493,0.6012,0.0297,0.0317,10
vehicles/car_mpeg7-05,vehicles,0.5925,0.6229,0.0304,0.5447,0.5902,0.0308,0.0232,10
vehicles/carriage_mpeg7-01,vehicles,0.4817,0.5306,0.0489,0.4463,0.476,0.0235,0.0297,10
vehicles/carriage_mpeg7-02,vehicles,0.4962,0.5354,0.0392,0.4348,0.485,0.0296,0.0335,10
vehicles/carriage_mpeg7-03,vehicles,0.5001,0.5347,0.0346,0.4583,0.4826,0.0331,0.0351,10
vehicles/carriage_mpeg7-04,vehicles,0.4598,0.4838,0.024,0.404,0.4431,0.0313,0.026,15
vehicles/carriage_mpeg7-05,vehicles,0.49,0.5078,0.0178,0.4214,0.4423,0.0432,0.0308,10
vehicles/chopper_mpeg7-01,vehicles,0.5796,0.6149,0.0353,0.5474,0.5744,0.0244,0.0222,10
vehicles/chopper_mpeg7-02,vehicles,0.6319,0.6688,0.0369,0.6036,0.6409,0.022,0.0212,10
vehicles/chopper_mpeg7-03,vehicles,0.614,0.6568,0.0428,0.5893,0.6093,0.0165,0.0306,10
vehicles/chopper_mpeg7-04,vehicles,0.634,0.6638,0.0298,0.6156,0.6418,0.0152,0.0174,10
vehicles/chopper_mpeg7-05,vehicles,0.6584,0.6865,0.0281,0.6088,0.6495,0.0245,0.0173,10
vehicles/classic_mpeg7-01,vehicles,0.5657,0.6005,0.0348,0.5317,0.5776,0.0216,0.0175,10
vehicles/classic_mpeg7-02,vehicles,0.5774,0.5943,0.0169,0.5239,0.5584,0.0397,0.0213,10
vehicles/classic_mpeg7-03,vehicles,0.5482,0.5871,0.0389,0.5127,0.5619,0.0343,0.0152,10
vehicles/classic_mpeg7-04,vehicles,0.5739,0.6248,0.0509,0.5216,0.5658,0.0402,0.0361,10
vehicles/classic_mpeg7-05,vehicles,0.612,0.61,-0.002,0.5447,0.5809,0.045,0.0203,10
vehicles/personal-car_mpeg7-01,vehicles,0.5811,0.6174,0.0363,0.5354,0.5579,0.0287,0.0371,10
vehicles/personal-car_mpeg7-02,vehicles,0.6225,0.6574,0.0349,0.5752,0.6089,0.0267,0.0354,10
vehicles/personal-car_mpeg7-03,vehicles,0.5787,0.616,0.0373,0.5331,0.5703,0.0367,0.0322,10
vehicles/personal-car_mpeg7-04,vehicles,0.5905,0.6011,0.0106,0.5281,0.5701,0.0312,0.0232,10
vehicles/personal-car_mpeg7-05,vehicles,0.5845,0.628,0.0435,0.5387,0.5723,0.0405,0.024,10
vehicles/truck_mpeg7-01,vehicles,0.5876,0.6334,0.0458,0.5505,0.5985,0.022,0.0224,10
vehicles/truck_mpeg7-02,vehicles,0.599,0.6478,0.0488,0.5507,0.6112,0.034,0.025,10
vehicles/truck_mpeg7-03,vehicles,0.6179,0.6097,-0.0082,0.5568,0.5759,0.0299,0.0169,10
vehicles/truck_mpeg7-04,vehicles,0.6199,0.6609,0.041,0.5752,0.6119,0.0334,0.0309,10
vehicles/truck_mpeg7-05,vehicles,0.6208,0.6464,0.0256,0.562,0.5992,0.0411,0.0195,10
